-66.9609,1356.57,-3.83149,353.947,-1.719,10.0944
-27.4213,1756.84,12.2432,139.411,1.01732,9.2166
60.2462,1648.8,-0.324906,90.5223,-0.310867,9.13799
-88.7424,1517.14,23.3592,76.1125,1.38826,9.12912
-27.0643,1425.73,22.9846,67.8572,-1.58103,9.12599
21.4099,1364.38,12.043,61.7334,-0.59733,9.12569
-34.7366,1321.35,2.52121,56.8028,-0.446662,9.12794
39.3305,1289.48,-3.80245,52.7628,1.3704,9.12955
-32.6566,1264.83,-4.66797,49.3213,3.59086,9.13261
-132.354,1244.98,10.1054,46.3631,-3.84685,9.13498
-83.2859,1228.51,-1.72397,43.7697,-1.45777,9.13755
-90.3699,1214.5,-10.7179,41.5057,5.48548,9.13958
-118.581,1202.39,-8.22152,39.4846,-0.651655,9.14244
-184.936,1191.78,-1.29704,37.6448,3.45682,9.14599
-75.6226,1182.31,-5.55147,36.0716,0.9912,9.14701
-73.3289,1173.94,-4.13906,34.6849,-1.02125,9.14898
-112.939,1166.53,-6.26444,33.4453,-5.87281,9.1512
-113.338,1159.93,-7.80264,32.3477,0.270881,9.15296
-119.248,1154.06,0.803931,31.3534,0.884477,9.15521
72.8275,1148.78,-3.36983,30.4589,2.6937,9.15715
-19.1612,1144.04,0.722282,29.6228,-0.0182376,9.15991
-34.2769,1139.71,12.4529,28.8783,6.32162,9.16143
-88.2266,1135.78,19.9864,28.2041,-3.2764,9.1632
-123.816,1132.22,16.7174,27.6148,-0.362536,9.16415
-127.068,1129.02,18.6537,27.1206,-7.24945,9.16429
-62.1282,1126.2,19.3696,26.6863,-2.97395,9.16509
-110.148,1123.73,33.6468,26.2858,-3.86027,9.16644
-15.9642,1121.52,32.1786,25.9176,-1.17218,9.16766
-95.5967,1119.52,40.2579,25.5728,-1.70668,9.16904
-0.49192,1117.7,13.8849,25.2511,-2.14968,9.17033
-16.5691,1116.03,-11.09,24.949,1.82585,9.17162
-170.124,1114.47,-12.0735,24.6842,-1.75588,9.17215
-22.6497,1113.06,-5.77386,24.4652,-0.478154,9.17211
68.2596,1111.8,-7.25691,24.264,-5.31068,9.17286
75.3563,1110.68,-4.08445,24.0806,-0.719061,9.17349
68.494,1109.67,-12.9387,23.9161,5.66855,9.17396
3.23692,1108.77,-26.4826,23.7664,-0.317796,9.17448
