732.989, 0.000, -29.002
839.779, 0.000, -17.517
886.458, 0.000, -30.017
916.598, 0.000, -25.312
961.838, 0.000, -6.278
1045.021, 0.000, -26.117
1105.394, 0.000, -18.673
1180.079, 0.000, -25.332
1201.913, 0.000, -25.985
1331.541, 0.000, -13.946
1331.042, 0.000, -20.622
1413.259, 0.000, -26.379
1450.062, 0.000, -9.581
1530.146, 0.000, -17.504
1543.907, 0.000, -12.939
1589.746, 0.000, -25.437
1651.293, 0.000, -11.875
1722.683, 0.000, -35.369
1741.937, 0.000, -8.930
1797.302, 0.000, -6.804
1889.995, 0.000, -10.601
1891.949, 0.000, -23.698
1907.784, 0.000, -27.961
1986.000, 0.000, -0.837
1999.603, 0.000, -3.823
2026.113, 0.000, 4.224
2082.618, 0.000, -26.671
2188.730, 0.000, 9.986
2191.490, 0.000, -18.577
2216.397, 0.000, -8.234
2249.483, 0.000, -7.258
2291.978, 0.000, -10.840
2344.298, 0.000, -12.057
2418.421, 0.000, -19.107
2383.270, 0.000, -18.540
2450.441, 0.000, -21.328
2473.795, 0.000, 5.346
2502.597, 0.000, -14.642
2531.926, 0.000, -11.183
2558.524, 0.000, -14.530
2635.952, 0.000, -4.265
2653.340, 0.000, -8.233
2700.477, 0.000, -5.272
2685.957, 0.000, -19.289
2767.678, 0.000, -8.837
2768.097, 0.000, -13.141
2774.561, 0.000, -35.581
2815.207, 0.000, -21.747
2815.852, 0.000, -11.428
2822.699, 0.000, -2.387
2856.174, 0.000, -33.893
2882.992, 0.000, -15.096
2950.122, 0.000, -26.484
2940.025, 0.000, -22.928
2951.457, 0.000, -19.075
2967.381, 0.000, -13.409
2989.138, 0.000, -3.556
2999.662, 0.000, -17.114
3059.378, 0.000, -27.081
3065.007, 0.000, -3.367
3100.713, 0.000, -8.642
3060.071, 0.000, -12.520
3114.522, 0.000, -23.657
3105.868, 0.000, -1.767
3112.104, 0.000, -13.242
3147.108, 0.000, -30.043
3145.376, 0.000, -12.870
3183.481, 0.000, -11.261
3200.079, 0.000, -5.466
3217.627, 0.000, -31.392
3168.763, 0.000, -18.050
3225.512, 0.000, -8.003
3214.225, 0.000, -20.046
3218.210, 0.000, -15.594
3214.853, 0.000, -8.796
3268.119, 0.000, -22.399
3276.718, 0.000, -6.142
3255.100, 0.000, -13.453
3257.149, 0.000, -15.318
3272.289, 0.000, -16.527
